TimeStamp,ECG Data,GSR Data
3130,469,303
3140,474,303
3150,479,303
3160,483,303
3170,487,303
3180,490,303
3190,494,303
3199,497,303
3210,498,303
3220,501,303
3230,502,303
3240,502,303
3250,504,303
3260,504,303
3270,505,303
3280,505,303
3290,504,303
3300,507,303
3310,508,303
3320,508,303
3330,509,303
3340,509,303
3350,509,303
3360,512,303
3370,517,302
3380,521,303
3390,521,302
3400,527,303
3410,529,302
3420,520,302
3430,518,302
3440,509,302
3450,504,302
3460,503,302
3470,503,302
3480,503,302
3490,504,302
3500,507,302
3510,509,302
3520,507,302
3530,477,302
3540,506,302
3550,658,302
3560,842,302
3570,925,302
3580,631,302
3590,372,302
3600,366,302
3610,417,302
3620,442,302
3630,454,302
3640,465,302
3650,473,302
3660,480,301
3669,489,301
3680,496,301
3690,501,301
3700,505,301
3710,512,301
3720,519,301
3730,525,301
3740,533,301
3750,542,301
3760,554,301
3770,567,301
3780,579,301
3790,590,301
3800,598,301
3810,598,301
3820,589,301
3830,561,301
3839,523,301
3850,482,301
3860,447,301
3870,427,301
3880,417,301
3890,416,301
3900,420,301
3910,429,301
3920,437,300
3930,445,300
3940,455,300
3950,461,300
3960,468,300
3970,472,300
3980,479,300
3990,482,300
4000,488,300
4010,490,300
4020,493,300
4030,496,300
4040,497,300
4050,500,300
4060,500,300
4070,504,300
4080,503,300
4090,504,300
4100,506,300
4110,505,300
4120,505,300
4130,505,300
4140,507,300
4150,507,300
4160,509,300
4170,509,300
4180,510,300
4190,510,300
4200,510,300
4210,511,300
4220,511,300
4230,511,300
4240,512,300
4250,512,300
4260,511,300
4270,513,300
4280,513,300
4290,512,300
4300,514,300
4309,514,300
4320,515,300
4330,513,300
4340,514,300
4350,515,300
4360,514,300
4370,513,300
4380,514,300
4390,515,299
4400,514,300
4410,515,299
4420,515,299
4430,515,299
4440,514,299
4450,514,299
4460,514,299
4470,515,299
4479,514,299
4490,515,299
4500,514,299
4510,512,299
4520,514,299
4530,514,299
4540,514,299
4550,514,299
4560,516,299
4570,514,299
4580,513,299
4590,513,299
4600,513,299
4610,514,299
4620,516,299
4630,515,299
4640,519,299
4650,524,299
4660,524,299
4670,519,299
4680,517,299
4690,509,299
4700,506,299
4710,506,299
4720,506,299
4730,506,299
4740,506,299
4750,507,299
4760,509,299
4770,489,299
4780,474,299
4790,593,299
4800,776,299
4810,942,299
4820,768,299
4830,430,299
4840,356,299
4850,403,299
4860,430,299
4870,445,299
4880,455,299
4890,463,299
4900,472,299
4910,481,299
4920,486,299
4930,492,299
4940,497,299
4949,504,299
4960,510,299
4970,517,299
4980,525,299
4990,534,299
5000,543,299
5010,554,299
5020,566,299
5030,579,299
5040,591,299
5050,596,299
5060,595,299
5070,585,299
5080,560,299
5090,524,299
5100,483,299
5110,448,299
5119,425,298
5130,412,298
5140,409,299
5150,415,298
5160,422,299
5170,431,298
5180,440,298
5190,448,298
5200,455,299
5210,462,298
5220,469,298
5230,474,298
5240,478,298
5250,484,298
5260,486,298
5270,489,298
5280,492,299
5290,494,299
5300,494,299
5310,497,298
5320,499,299
5330,499,299
5340,499,298
5350,501,298
5360,502,299
5370,502,299
5380,503,299
5390,503,299
5400,504,299
5410,505,299
5420,506,299
5430,508,299
5440,507,299
5450,508,299
5460,509,299
5470,509,299
5480,510,299
5490,510,299
5500,510,299
5510,511,299
5520,511,299
5530,511,299
5540,512,299
5550,513,299
5560,513,299
5570,513,299
5580,513,299
5589,513,299
5600,513,299
5610,513,299
5620,513,299
5630,514,299
5640,513,299
5650,513,299
5660,513,299
5670,513,299
5680,514,299
5690,513,299
5700,513,299
5710,513,299
5720,513,299
5730,513,299
5740,514,299
5750,514,299
5759,514,299
5770,513,299
5780,513,299
5790,514,299
5800,515,299
5810,515,299
5820,514,299
5830,514,299
5840,515,299
5850,515,299
5860,514,299
5870,519,299
5880,523,299
5890,525,299
5900,519,299
5910,517,299
5920,509,299
5930,506,299
5940,506,299
5950,506,299
5960,507,299
5970,507,299
5980,506,299
5990,508,299
6000,489,299
6010,476,299
6020,597,299
6030,781,299
6040,942,299
6050,760,299
6060,426,299
6070,356,299
6080,404,299
6090,432,299
6100,446,299
6110,457,299
6120,466,299
6130,474,299
6140,480,299
6150,487,299
6160,495,299
6170,499,299
6180,504,299
6190,512,299
6200,519,299
6210,525,299
6220,535,299
6229,544,299
6240,554,299
6250,568,299
6260,581,299
6270,591,299
6280,597,299
6290,597,299
6300,586,299
6310,561,299
6320,523,299
6330,481,299
6340,446,299
6350,423,299
6360,410,299
6370,407,299
6380,412,299
6390,420,299
6399,430,299
6410,438,299
6420,446,299
6430,455,299
6440,462,299
6450,467,299
6460,473,299
6470,478,299
6480,482,299
6490,485,299
6500,489,299
6510,493,299
6520,495,299
6530,496,299
6540,498,299
6550,498,299
6560,500,299
6570,501,299
6580,503,299
6590,503,299
6600,505,299
6610,504,299
6620,504,299
6630,505,299
6640,506,299
6650,507,299
6660,507,299
6670,508,299
6680,509,299
6690,509,299
6700,509,299
6710,509,299
6720,512,299
6730,510,299
6740,510,299
6750,511,299
6760,512,299
6770,512,299
6780,513,299
6790,512,299
6800,512,299
6810,512,299
6820,512,299
6830,512,299
6840,513,299
6850,513,300
6860,514,300
6869,514,299
6880,513,299
6890,514,300
6900,516,300
6910,514,300
6920,513,300
6930,513,300
6940,513,300
6950,513,300
6960,513,300
6970,513,300
6980,513,300
6990,515,300
7000,515,300
7010,512,300
7020,513,300
7030,514,300
7039,513,300
7050,513,300
7060,512,300
7070,514,300
7080,513,300
7090,515,300
7100,515,300
7110,518,300
7120,520,300
7130,525,300
7140,520,300
7150,516,300
7160,513,300
7170,507,300
7180,505,300
7190,504,300
7200,504,300
7210,505,300
7220,505,300
7230,506,300
7240,505,300
7250,474,300
7260,504,300
7270,653,300
7280,839,300
7290,937,300
7300,643,300
7310,374,300
7320,369,300
7330,415,300
7340,436,300
7350,450,300
7360,459,300
7370,467,300
7380,475,300
7390,482,300
7400,489,300
7410,494,300
7420,499,300
7430,506,300
7440,513,300
7450,519,300
7460,526,300
7470,535,300
7480,547,300
7490,559,300
7500,570,300
7509,585,300
7520,596,300
7530,600,300
7540,596,300
7550,582,300
7560,553,300
7570,514,300
7580,474,300
7590,437,300
7600,417,300
7610,408,300
7620,407,300
7630,411,300
7640,421,300
7650,431,300
7660,438,300
7670,447,300
7679,456,300
7690,462,300
7700,468,300
7710,474,300
7720,478,300
7730,483,300
7740,486,300
7750,490,300
7760,493,300
7770,495,300
7780,497,300
7790,498,300
7800,500,300
7810,501,300
7820,501,300
7830,503,300
7840,503,300
7850,504,300
7860,505,300
7870,505,300
7880,506,300
7890,507,300
7900,509,300
7910,509,300
7920,509,300
7930,509,300
7940,509,300
7950,511,300
7960,511,300
7970,511,300
7980,512,300
7990,513,300
8000,512,300
8010,512,300
8020,512,300
8030,512,300
8040,513,300
8050,512,300
8060,513,300
8070,513,300
8080,514,300
8090,513,300
8100,514,300
8110,512,300
8120,515,300
8130,514,300
8140,514,300
8149,514,300
8160,515,300
8170,515,300
8180,514,300
8190,514,300
8200,515,300
8210,514,300
8220,514,300
8230,514,300
8240,515,300
8250,515,300
8260,514,300
8270,513,300
8280,513,300
8290,515,300
8300,514,300
8310,513,300
8319,513,300
8330,515,300
8340,513,300
8350,513,300
8360,513,300
8370,514,300
8380,514,300
8390,514,300
8400,515,300
8410,520,300
8420,523,300
8430,524,300
8440,517,300
8450,515,300
8460,509,300
8470,506,300
8480,505,300
8490,505,300
8500,507,300
8510,506,300
8520,509,300
8530,505,300
8540,469,300
8550,524,300
8560,681,300
8570,867,300
8580,911,301
8590,584,301
8600,361,301
8610,381,300
8620,421,301
8630,440,300
8640,451,300
8650,461,300
8660,469,301
8670,476,300
8680,483,300
8690,491,300
8700,496,300
8710,502,300
8720,508,300
8730,515,300
8740,522,301
8750,529,300
8760,537,300
8770,548,300
8780,559,300
8789,572,301
8800,585,301
8810,596,301
8820,601,301
8830,597,300
8840,581,300
8850,552,301
8860,512,301
8870,470,300
8880,438,300
8890,416,301
8900,407,300
8910,406,300
8920,413,300
8930,420,301
8940,429,301
8950,440,301
8959,447,301
8970,455,301
8980,462,300
8990,469,300
9000,474,301
9010,479,300
9020,483,300
9030,487,301
9040,489,301
9050,492,301
9060,496,301
9070,496,301
9080,499,301
9090,501,301
9100,502,301
9110,502,301
9120,502,301
9130,504,301
9140,504,301
9150,504,301
9160,506,301
9170,507,301
9180,507,301
9190,508,301
9200,508,301
9210,509,301
9220,510,301
9230,512,301
9240,513,301
9250,511,301
9260,510,301
9270,512,301
9280,513,301
9290,514,301
9300,515,301
9310,516,301
9320,514,301
9330,510,301
9340,513,301
9350,512,301
9360,514,301
9370,516,301
9380,516,301
9390,514,301
9400,516,301
9410,512,301
9420,512,301
9429,514,301
9440,515,301
9450,516,301
9460,515,301
9470,514,301
9480,514,301
9490,514,301
9500,514,301
9510,514,301
9520,518,301
9530,515,301
9540,513,301
9550,512,301
9560,513,301
9570,513,301
9580,517,301
9590,521,301
9599,522,301
9610,524,301
9620,521,301
9630,518,301
9640,516,301
9650,511,301
9660,507,301
9670,505,301
9680,504,301
9690,502,301
9700,504,301
9710,505,301
9720,506,301
9730,486,301
9740,487,301
9750,610,301
9760,795,301
9770,949,301
9780,731,301
9790,405,301
9800,363,301
9810,411,301
9820,433,301
9830,446,301
9840,453,301
9850,465,301
9860,474,301
9870,481,301
9880,490,301
9890,492,301
9900,497,301
9910,505,301
9920,512,301
9930,521,301
9940,530,301
9950,538,301
9960,541,301
9970,552,301
9980,567,301
9990,581,301
10000,594,301
10010,603,301
10020,606,301
10030,589,301
10040,562,301
10050,528,301
10060,487,301
10069,451,301
10080,427,301
10090,413,301
10100,403,301
10110,408,301
10120,416,301
10130,424,301
10140,437,301
10150,448,301
10160,454,301
10170,458,301
10180,463,301
10190,471,301
10200,478,301
10210,482,301
10220,487,302
10230,489,301
10239,493,301
10250,492,301
10260,495,302
10270,497,301
10280,500,301
10290,504,301
10300,504,302
10310,502,301
10320,499,302
10330,502,302
10340,504,302
10350,506,302
10360,507,302
10370,509,301
10380,511,302
10390,504,302
10400,503,302
10410,507,302
10420,510,302
10430,511,302
10440,512,302
10450,516,302
10460,512,302
10470,510,302
10480,511,302
10490,511,302
10500,511,302
10510,512,302
10520,513,302
10530,517,302
10540,509,302
10550,509,302
10560,512,302
10570,513,302
10580,514,302
10590,514,302
10600,517,302
10610,511,302
10620,511,302
10630,513,302
10640,514,302
10650,514,302
10660,515,302
10670,515,302
10680,514,302
10690,512,302
10700,511,302
10709,513,302
10720,515,302
10730,518,302
10740,521,302
10750,523,302
10760,525,302
10770,523,302
10780,516,302
10790,511,302
10800,506,302
10810,504,302
10820,504,302
10830,505,302
10840,505,302
10850,508,302
10860,508,302
10870,501,302
10879,465,302
10890,527,302
10900,687,302
10910,879,302
10920,904,302
10930,572,302
10940,358,302
10950,386,302
10960,425,302
10970,437,302
10980,450,302
10990,458,302
11000,467,302
11010,475,302
11020,485,302
11030,491,302
11040,494,302
11050,501,302
11060,505,302
11070,515,302
11080,519,302
11090,528,302
11100,536,302
11110,547,302
11120,558,302
11130,572,302
11140,586,302
11150,596,302
11160,602,302
11170,597,302
11180,580,302
11190,548,302
11200,508,302
11210,467,302
11220,434,302
11230,415,302
11240,407,302
11250,410,302
11260,414,302
11270,422,302
11280,430,302
11290,440,302
11300,449,302
11310,457,302
11320,463,302
11330,467,302
11340,472,302
11349,480,302
11360,484,302
11370,487,302
11380,491,302
11390,495,302
11400,492,302
11410,495,302
11420,499,302
11430,500,302
11440,500,302
11450,503,302
11460,504,302
11470,506,302
11480,503,302
11490,506,302
11500,502,302
11510,505,302
11519,508,302
11530,507,302
11540,510,302
11550,515,302
11560,509,302
11570,510,302
11580,510,302
11590,510,302
11600,511,302
11610,514,302
11620,512,302
11630,513,302
11640,514,302
11650,511,302
11660,512,302
11670,512,302
11680,514,302
11690,514,302
11700,517,302
11710,520,302
11720,523,302
11730,527,302
11740,523,302
11750,519,302
11760,515,302
11770,507,302
11780,507,302
11790,506,302
11800,505,302
11810,506,302
11820,508,302
11830,508,302
11840,506,302
11850,471,302
11860,515,302
11870,671,302
11880,860,302
11890,927,302
11900,614,302
11910,364,302
11920,377,302
11930,423,302
11940,441,302
11950,452,302
11960,463,302
11970,472,302
11980,478,302
11989,487,302
12000,492,302
12010,496,302
12020,503,302
12030,507,302
12040,514,302
12050,523,302
12060,529,302
12070,538,302
12080,549,302
12090,559,302
12100,574,302
12110,588,302
12120,598,302
12130,604,302
12140,601,302
12150,575,302
12159,545,302
12170,502,302
12180,462,302
12190,433,302
12200,415,302
12210,410,302
12220,410,302
12230,418,302
12240,428,302
12250,435,302
12260,444,302
12270,452,302
12280,459,302
12290,467,302
12300,473,302
12310,479,302
12320,482,302
12330,484,302
12340,489,302
12350,492,302
12360,496,302
12370,500,302
12380,498,302
12390,501,302
12400,501,302
12410,503,302
12420,503,302
12430,505,302
12440,507,302
12450,509,302
12460,507,302
12470,506,302
12480,504,302
12490,507,302
12500,509,302
12510,511,302
12520,511,302
12530,512,303
12540,512,302
12550,513,302
12560,511,302
12570,511,302
12580,512,302
12590,513,302
12600,515,302
12610,515,302
12620,515,302
12629,513,302
12640,512,302
12650,512,302
12660,513,303
12670,514,302
12680,515,302
12690,514,302
12700,516,303
12710,515,303
12720,514,302
12730,515,303
12740,519,303
12750,521,303
12760,523,302
12770,527,302
12780,526,302
12790,520,302
12799,516,302
12810,509,302
12820,503,303
12830,504,303
12840,506,303
12850,506,302
12860,506,302
12870,508,302
12880,509,302
12890,490,302
12900,474,303
12910,593,302
12920,773,303
12930,927,303
12940,767,303
12950,437,303
12960,355,303
12970,405,303
12980,435,303
12990,449,302
13000,457,303
13010,466,302
13020,474,302
13030,482,302
13040,488,303
13050,494,303
13060,499,303
13070,505,302
13080,513,302
13090,519,302
13100,527,302
13110,536,302
13120,544,302
13130,554,302
13140,568,303
13150,581,303
13160,594,302
13170,600,302
13180,602,302
13190,588,302
13200,562,302
13210,525,302
13220,483,302
13230,447,302
13240,423,302
13250,413,302
13260,412,302
13269,419,302
13280,423,302
13290,432,302
13300,440,302
13310,448,302
13320,456,302
13330,465,302
13340,471,302
13350,476,302
13360,480,302
13370,483,302
13380,487,303
13390,489,302
13400,493,302
13410,495,302
13420,498,303
13430,499,302
13439,500,302
13450,501,302
13460,501,302
13470,500,302
13480,501,302
13490,504,302
13500,504,303
13510,506,302
13520,508,302
13530,507,302
13540,507,302
13550,506,302
13560,507,303
13570,508,302
13580,510,303
13590,513,303
13600,513,303
13610,513,302
13620,513,303
13630,510,302
13640,512,302
13650,512,302
13660,513,303
13670,514,302
13680,513,302
13690,513,302
13700,517,303
13710,515,302
13720,517,302
13730,522,302
13740,521,302
13750,526,302
13760,527,302
13770,521,302
13780,519,302
13790,510,302
13800,506,302
13810,504,302
13820,503,302
13830,504,302
13840,505,302
13850,507,302
13860,510,302
13870,502,302
13880,472,302
13890,555,302
13900,727,302
13909,890,302
13920,835,303
13930,505,302
13940,350,302
13950,390,302
13960,432,302
13970,450,302
13980,460,302
13990,469,302
14000,476,302
14010,484,302
14020,490,302
14030,496,302
14040,502,302
14050,507,302
14060,512,302
14070,517,302
14079,524,302
14090,532,302
14100,542,302
14110,556,302
14120,565,302
14130,578,302
14140,590,302
14150,600,302
14160,600,302
14170,590,302
14180,567,302
14190,534,302
14200,487,302
14210,452,302
14220,427,302
14230,414,302
14240,411,302
14250,417,302
14260,425,302
14270,432,302
14280,440,302
14290,449,302
14300,455,302
14310,463,302
14320,468,302
14330,475,302
14340,480,302
14350,484,302
14360,487,302
14370,491,302
14380,492,302
14390,494,302
14400,495,302
14410,497,302
14420,500,302
14430,502,302
14440,502,302
14450,503,302
14460,504,302
14470,504,302
14480,505,302
14490,507,302
14500,505,302
14510,505,302
14520,507,302
14530,508,302
14540,508,302
14549,508,302
14560,508,302
14570,509,302
14580,510,302
14590,511,302
14600,512,302
14610,513,302
14620,514,302
14630,512,302
14640,513,302
14650,518,302
14660,522,302
14670,523,301
14680,526,302
14690,529,302
14700,522,302
14710,518,302
14719,510,301
14730,506,301
14740,508,301
14750,504,302
14760,505,301
14770,507,301
14780,507,301
14790,508,301
14800,506,301
14810,472,301
14820,530,301
14830,696,301
14840,874,302
14850,890,301
14860,569,301
14870,357,301
14880,374,301
14890,424,301
14900,445,301
14910,459,301
14920,469,301
14930,473,301
14940,480,301
14950,488,301
14960,494,301
14970,500,301
14980,506,301
14990,514,301
15000,518,301
15010,523,301
15020,530,301
15030,540,301
15040,551,301
15050,565,301
15060,578,301
15070,589,301
15080,599,301
15090,599,301
15100,590,301
15110,571,301
15120,534,301
15130,494,301
15140,457,301
15150,433,301
15160,417,301
15170,413,301
15180,416,300
15189,422,300
15200,433,300
15210,441,301
15220,452,300
15230,458,300
15240,464,300
15250,470,300
15260,475,300
15270,481,300
15280,486,300
15290,489,300
15300,491,300
15310,494,300
15320,496,300
15330,498,300
15340,499,300
15350,501,300
15359,504,300
15370,503,300
15380,503,300
15390,504,300
15400,506,300
15410,506,300
15420,506,300
15430,506,300
15440,508,300
15450,508,300
15460,509,300
15470,509,300
15480,511,300
15490,511,300
15500,511,300
15510,511,299
15520,511,300
15530,511,299
15540,512,300
15550,513,299
15560,513,299
15570,511,299
15580,515,299
15590,520,299
15600,522,299
15610,523,299
15620,526,299
15630,527,299
15640,520,299
15650,518,299
15660,509,299
15670,506,299
15680,504,299
15690,502,299
15700,504,299
15710,506,299
15720,507,299
15730,509,299
15740,500,299
15750,469,299
15760,560,299
15770,736,298
15780,913,299
15790,844,299
15800,497,299
15810,350,298
15820,394,299
15829,432,298
15840,447,299
15850,457,298
15860,463,298
15870,472,298
15880,480,298
15890,488,298
15900,494,298
15910,500,298
15920,507,298
15930,510,298
15940,517,298
15950,524,298
15960,533,298
15970,544,298
15980,555,298
15990,568,298
15999,581,298
16010,592,298
16020,598,298
16030,600,298
16040,588,298
16050,564,297
16060,526,297
16070,486,297
16080,451,297
16090,428,297
16100,417,297
16110,413,297
16120,416,297
16130,423,297
16140,431,297
16150,442,297
16160,451,297
16170,459,297
16180,465,297
16190,472,297
16200,475,297
16210,480,297
16220,482,297
16230,488,297
16240,493,297
16250,495,297
16260,498,297
16270,501,297
16280,502,297
16290,499,297
16300,500,297
16310,503,297
16320,502,297
16330,504,296
16340,507,297
16350,505,296
16360,503,296
16370,503,296
16380,506,296
16390,507,296
16400,508,296
16410,510,296
16420,507,296
16430,508,296
16440,509,296
16450,510,296
16460,512,296
16469,511,296
16480,519,296
16490,513,296
16500,504,296
16510,506,296
16520,508,296
16530,512,296
16540,512,296
16550,513,296
16560,513,296
16570,513,296
16580,517,296
16590,514,296
16600,512,296
16610,519,296
16620,520,296
16630,519,296
16639,522,296
16650,527,296
16660,515,296
16670,519,296
16680,506,296
16690,501,296
16700,503,296
16710,506,296
16720,504,296
16730,512,296
16740,498,296
16750,502,296
16760,511,296
16770,468,296
16780,548,295
16790,716,296
16800,885,296
16810,855,296
16820,515,296
16830,348,295
16840,397,295
16850,428,295
16860,449,296
16870,460,295
16880,461,295
16890,477,295
16900,480,295
16910,490,295
16920,503,295
16930,499,295
16940,512,295
16950,506,295
16960,524,295
16970,522,295
16980,533,295
16990,552,295
17000,553,295
17010,573,295
17020,563,295
17030,584,295
17040,613,295
17050,596,295
17060,588,295
17070,572,295
17080,519,295
17090,490,295
17100,451,295
17109,423,295
17120,416,295
17130,409,295
17140,405,295
17150,425,295
17160,421,295
17170,433,295
17180,445,295
17190,449,295
17200,461,295
17210,461,295
17220,481,295
17230,471,295
17240,479,295
17250,487,295
17260,489,295
17270,484,295
17279,497,295
17290,499,295
17300,494,295
17310,498,295
17320,498,295
17330,498,295
17340,506,295
17350,503,295
17360,507,295
17370,500,295
17380,515,295
17390,501,295
17400,506,295
17410,507,295
17420,507,295
17430,519,295
17440,520,295
17450,524,295
17460,519,295
17470,530,295
17480,511,294
17490,516,295
17500,517,295
17510,499,295
17520,512,295
17530,499,295
17540,506,295
17550,506,295
17560,512,295
17570,505,295
17580,505,294
17590,469,294
17600,556,295
17610,744,295
17620,903,295
17630,845,295
17640,504,295
17650,337,295
17660,379,295
17670,424,295
17680,449,295
17690,460,295
17700,474,294
17710,477,294
17720,482,295
17730,491,294
17740,497,294
17749,505,294
17760,506,294
17770,515,294
17780,524,294
17790,528,294
17800,532,295
17810,548,294
17820,556,295
17830,571,294
17840,584,294
17850,596,294
17860,604,295
17870,603,294
17880,587,295
17890,558,294
17900,514,295
17910,473,294
17919,441,295
17930,421,294
17940,416,294
17950,419,294
17960,420,294
17970,429,294
17980,443,294
17990,449,294
18000,457,295
18010,464,294
18020,470,294
18030,478,294
18040,479,294
18050,486,294
18060,488,295
18070,494,294
18080,494,294
18090,497,294
18100,502,295
18110,501,294
18120,500,295
18130,507,294
18140,502,295
18150,501,295
18160,504,295
18170,503,295
18180,506,295
18190,505,295
18200,512,295
18210,504,295
18220,507,295
18230,504,295
18240,499,295
18250,500,295
18260,521,295
18270,518,294
18280,519,295
18290,515,295
18300,518,295
18310,517,295
18320,520,295
18330,522,295
18340,522,295
18350,525,295
18360,520,295
18370,512,295
18380,508,295
18389,505,295
18400,501,295
18410,502,295
18420,508,295
18430,504,295
18440,505,295
18450,507,295
18460,485,295
18470,480,295
18480,608,295
18490,793,295
18500,949,295
18510,740,295
18520,413,295
18530,362,295
18540,405,295
18550,433,295
18559,451,295
18570,460,295
18580,470,295
18590,474,295
18600,478,295
18610,486,295
18620,495,295
18630,499,295
18640,504,295
18650,513,295
18660,521,295
18670,529,295
18680,530,295
18690,540,295
18700,561,295
18710,574,295
18720,581,295
18730,595,295
18740,590,295
18750,590,295
18760,577,295
18770,543,295
18780,509,295
18790,472,295
18800,443,295
18810,423,295
18820,417,295
18830,422,295
18840,432,295
18850,440,295
18860,436,295
18870,450,295
18880,458,295
18890,464,295
18900,473,295
18910,475,295
18920,484,295
18930,492,295
18940,485,295
18950,486,295
18960,492,295
18970,497,295
18980,496,295
18990,500,295
19000,505,296
19010,507,295
19020,498,295
19029,501,295
19040,502,295
19050,504,295
19060,502,295
19070,507,295
19080,508,295
19090,510,295
19100,503,295
19110,507,295
19120,512,295
19130,512,295
19140,512,295
19150,513,296
19160,509,295
19170,512,295
19180,521,295
19190,520,296
19199,522,296
19210,527,296
19220,528,295
19230,520,295
19240,514,295
19250,507,296
19260,508,295
19270,505,296
19280,504,295
19290,506,296
19300,506,296
19310,508,296
19320,506,295
19330,497,296
19340,473,295
19350,576,296
19360,754,295
19370,916,296
19380,797,296
19390,457,296
19400,352,296
19410,400,296
19420,436,296
19430,452,296
19440,457,296
19450,464,296
19460,474,296
19470,478,296
19480,492,296
19490,500,296
19500,504,296
19510,510,296
19520,513,296
19530,519,296
19540,526,296
19550,536,296
19560,546,296
19570,552,296
19580,566,296
19590,582,296
19600,595,296
19610,600,296
19620,600,296
19630,581,296
19640,552,296
19650,515,296
19660,474,296
19669,441,296
19680,425,296
19690,415,296
19700,420,295
19710,426,295
19720,433,295
19730,441,295
19740,450,296
19750,456,296
19760,466,295
19770,466,295
19780,477,295
19790,480,295
19800,485,295
19810,490,295
19820,492,295
19830,496,295
19839,491,295
19850,496,295
19860,498,295
19870,500,295
19880,499,296
19890,500,295
19900,500,295
19910,503,295
19920,509,295
19930,500,295
19940,501,295
19950,502,295
19960,505,295
19970,505,295
19980,509,295
19990,509,295
20000,519,295
20010,513,295
20020,507,295
20030,507,296
20040,510,295
20050,515,295
20060,517,295
20070,521,295
20080,519,296
