,y,feat_nn20,feat_nn50,feat_rmssd,feat_nnhr,feat_sdsd,feat_pnn50,feat_pnn20
S1601,1.0,8.0,4.0,0.2372067186273187,84.06280118396161,177.25993008373507,0.3333333333333333,0.6666666666666666
S1611,1.0,8.0,5.0,0.18655996352387705,81.30721491308624,139.18487192015013,0.45454545454545453,0.7272727272727273
S1621,1.0,5.0,4.0,0.20727438316184163,69.93589273572934,179.4827539261534,0.4,0.5
S1701,1.0,7.0,3.0,0.20246897994600788,75.09597958941418,164.38630460855663,0.2727272727272727,0.6363636363636364
S1711,1.0,7.0,5.0,0.08694346863911159,85.43410368236015,60.165062210088706,0.4166666666666667,0.5833333333333334
S1721,1.0,6.0,5.0,0.11067001665432288,59.63586579913405,111.56640947636741,0.625,0.75
S202,2.0,5.0,1.0,0.037026689618670616,77.4860019595963,27.085317748007633,0.08333333333333333,0.4166666666666667
S212,2.0,5.0,1.0,0.1634374547240019,90.70937269799512,108.05976709814865,0.07692307692307693,0.38461538461538464
S222,2.0,9.0,6.0,0.1376748225784471,80.3957565764378,101.04897623384679,0.5,0.75
S302,2.0,9.0,6.0,0.13049429931734996,99.216549952967,74.3317445413732,0.4,0.6
S312,2.0,8.0,7.0,0.09058702211345981,83.1880234489177,62.79915754124446,0.5833333333333334,0.6666666666666666
S322,2.0,8.0,3.0,0.07204762624324162,130.68007540909932,33.10920397344352,0.14285714285714285,0.38095238095238093
S402,2.0,10.0,8.0,0.34313860617704434,78.2038769815278,287.6421033017188,0.7272727272727273,0.9090909090909091
S412,2.0,10.0,8.0,0.2784939508278117,86.7598567718229,202.36916881221788,0.6666666666666666,0.8333333333333334
S422,2.0,11.0,6.0,0.1704317326247086,85.73923422199489,123.73154690339086,0.5,0.9166666666666666
S502,2.0,4.0,3.0,0.05359230755246538,89.39374378348239,36.01781415970951,0.21428571428571427,0.2857142857142857
S512,2.0,5.0,2.0,0.13644608817742726,96.99792731202226,82.55183205262335,0.14285714285714285,0.35714285714285715
S522,2.0,3.0,0.0,0.034158965545102324,91.98632739557846,22.213029267590773,0.0,0.21428571428571427
S602,2.0,7.0,4.0,0.10592205936074896,80.56331684643628,79.08632405194481,0.3333333333333333,0.5833333333333334
S612,2.0,10.0,9.0,0.20947547475147862,78.71087418414467,163.7794061460445,0.8181818181818182,0.9090909090909091
S622,2.0,8.0,6.0,0.11790512182413439,79.96674439302794,89.61114247754509,0.5,0.6666666666666666
S702,2.0,12.0,7.0,0.2627978134165462,92.6190471625889,175.58603378123982,0.5,0.8571428571428571
S712,2.0,11.0,5.0,0.1068480330085985,112.55452479798883,56.76879521087163,0.29411764705882354,0.6470588235294118
S722,2.0,10.0,8.0,0.21606031621835922,77.93363281860465,167.28996845887775,0.6666666666666666,0.8333333333333334
S802,2.0,12.0,7.0,0.17055672958251716,99.73779771667695,102.10283829390728,0.4666666666666667,0.8
S812,2.0,13.0,11.0,0.26901164096614827,96.73045293734084,182.457959254461,0.7857142857142857,0.9285714285714286
S822,2.0,9.0,3.0,0.06344469820716765,101.71755189209375,37.481484469061975,0.1875,0.5625
S902,2.0,9.0,7.0,0.166791615456368,81.07469382735674,123.66146203832439,0.5833333333333334,0.75
S912,2.0,10.0,9.0,0.2063664408768325,79.4198780276422,157.68276895366435,0.75,0.8333333333333334
S922,2.0,10.0,5.0,0.24219761200405443,86.38249886121622,177.05914539532475,0.4166666666666667,0.8333333333333334
S1002,2.0,9.0,3.0,0.10178848089225673,114.53608541086383,53.02274628376885,0.16666666666666666,0.5
S1012,2.0,11.0,3.0,0.09238415754695771,119.56531277536295,46.64027166292142,0.15789473684210525,0.5789473684210527
S1022,2.0,8.0,2.0,0.06588082781302283,91.95783334013717,43.02362704374838,0.14285714285714285,0.5714285714285714
S1102,2.0,7.0,3.0,0.05965272768680019,127.224859501423,28.045818290224844,0.15,0.35
S1112,2.0,13.0,5.0,0.10457038080392485,130.2845771037833,47.9009332519812,0.25,0.65
S1122,2.0,10.0,4.0,0.08843406240182246,128.82331125501673,40.86920933947053,0.2,0.5
S1302,2.0,12.0,6.0,0.1335100501888958,103.85764268544975,77.69269074379739,0.375,0.75
S1312,2.0,4.0,3.0,0.07109700602389132,105.78991505278417,39.165443605161876,0.1875,0.25
S1322,2.0,1.0,1.0,0.029587115056788096,132.52826519263704,12.842054638839437,0.047619047619047616,0.047619047619047616
S1402,2.0,20.0,9.0,0.10071388728411647,139.8713469879721,43.26092049821372,0.4090909090909091,0.9090909090909091
S1412,2.0,15.0,8.0,0.14199016340294643,133.54291127691735,63.505423197631366,0.38095238095238093,0.7142857142857143
S1422,2.0,1.0,1.0,0.06954269023566431,125.97312354308505,32.82038858962446,0.05,0.05
S1502,2.0,10.0,8.0,0.14926527682853188,86.63139723721318,103.79115990913407,0.6153846153846154,0.7692307692307693
S1512,2.0,8.0,7.0,0.08846998669010689,91.1573366226051,55.64861819922379,0.5384615384615384,0.6153846153846154
S1522,2.0,10.0,6.0,0.09386898565263929,87.77396842940006,62.42853056553093,0.46153846153846156,0.7692307692307693
S1602,2.0,3.0,0.0,0.03316424328464924,144.15244599248382,13.801260266921444,0.0,0.13043478260869565
S1612,2.0,1.0,1.0,0.0838389157362682,127.28052368076905,38.58762063217095,0.05,0.05
S1622,2.0,1.0,1.0,0.04027721324369842,128.29194919332798,18.38526522174787,0.05,0.05
S1702,2.0,9.0,2.0,0.0720608535684866,108.46866780825184,39.9281880891387,0.11764705882352941,0.5294117647058824
S1712,2.0,2.0,2.0,0.07987225934828673,114.39025714440481,40.83618611552892,0.1111111111111111,0.1111111111111111
S1722,2.0,8.0,2.0,0.11962016365747498,103.12693879171124,71.15413947639162,0.125,0.5
S203,3.0,10.0,9.0,0.20507331982061483,77.00868704596733,162.34311107739015,0.8181818181818182,0.9090909090909091
S213,3.0,10.0,10.0,0.1982763602251867,70.67594243916254,167.6439984135476,0.9090909090909091,0.9090909090909091
S223,3.0,11.0,8.0,0.20931464186373536,84.6217376682869,158.37416067051169,0.6666666666666666,0.9166666666666666
S303,3.0,7.0,6.0,0.3718504701576542,68.92842059018253,378.11331542315645,0.75,0.875
S313,3.0,6.0,5.0,0.18909911219876752,54.262969492154134,206.2832268491559,0.625,0.75
S323,3.0,7.0,6.0,0.3085664652625024,82.37592874622263,282.13230842245343,0.6,0.7
S403,3.0,7.0,7.0,0.2561948701575727,88.67491339078282,199.75929392697603,0.6363636363636364,0.6363636363636364
S413,3.0,9.0,8.0,0.29561236860902906,81.07308466214032,232.39871614384202,0.7272727272727273,0.8181818181818182
S423,3.0,7.0,6.0,0.3197977284778884,72.13140872286849,287.1909810770403,0.6,0.7
S503,3.0,6.0,3.0,0.21391562610492074,86.82605121190608,160.59303362530886,0.2727272727272727,0.5454545454545454
S513,3.0,7.0,3.0,0.059907490700151514,61.681801920092816,57.49195817766173,0.3333333333333333,0.7777777777777778
S523,3.0,8.0,4.0,0.06812241894692793,63.69718275407329,63.845050522264486,0.4,0.8
S603,3.0,4.0,2.0,0.24323682293585352,73.10006061322238,217.12197059113728,0.2,0.4
S613,3.0,5.0,1.0,0.0342645750385232,63.757253340498686,31.601257186737296,0.1,0.5
S623,3.0,6.0,1.0,0.03673917262373571,69.09452504379851,31.758334917541156,0.09090909090909091,0.5454545454545454
S703,3.0,5.0,4.0,0.047896211047682546,58.47042177920701,48.49784341933702,0.4444444444444444,0.5555555555555556
S713,3.0,6.0,4.0,0.23572184762215687,68.56159499261335,219.26128295730132,0.4444444444444444,0.6666666666666666
S723,3.0,4.0,3.0,0.08732661574220868,61.72565200403488,82.51700505016518,0.3333333333333333,0.4444444444444444
S803,3.0,9.0,7.0,0.2548744354000365,77.41546214814024,214.06388518097933,0.6363636363636364,0.8181818181818182
S813,3.0,10.0,8.0,0.2017680040512685,75.6257259189514,168.33160907044427,0.7272727272727273,0.9090909090909091
S823,3.0,5.0,5.0,0.09041387205952363,65.1773832916335,83.32773979715697,0.5,0.5
S903,3.0,9.0,9.0,0.1968488089921616,83.32940588912341,142.2958716174338,0.6923076923076923,0.6923076923076923
S913,3.0,11.0,7.0,0.1525961629180921,88.18050983174865,104.83945992934417,0.5384615384615384,0.8461538461538461
S923,3.0,12.0,6.0,0.17847281502815188,87.88773120503782,123.58564924137663,0.46153846153846156,0.9230769230769231
S1003,3.0,10.0,5.0,0.14808442841441863,72.94856393539428,124.21048626408066,0.45454545454545453,0.9090909090909091
S1013,3.0,7.0,3.0,0.08721736164791494,66.96301579406007,77.51266771201136,0.3,0.7
S1023,3.0,7.0,6.0,0.23780219771229644,83.05822310855433,179.35878368192311,0.5,0.5833333333333334
S1103,3.0,6.0,3.0,0.06706359359214664,72.44341967770039,55.65297580813976,0.3,0.6
S1113,3.0,7.0,4.0,0.07397885035655119,71.84187687730301,54.9784744519276,0.36363636363636365,0.6363636363636364
S1123,3.0,11.0,2.0,0.07213371561257632,97.6426272983664,44.48885975423987,0.13333333333333333,0.7333333333333333
S1303,3.0,9.0,4.0,0.1360820339782473,90.30114524544024,90.78518664065562,0.3076923076923077,0.6923076923076923
S1313,3.0,8.0,3.0,0.07432824967988186,88.01900946348482,50.981856182998975,0.23076923076923078,0.6153846153846154
S1323,3.0,10.0,5.0,0.07388186587561395,88.79579537154453,49.36769615834436,0.35714285714285715,0.7142857142857143
S1403,3.0,3.0,2.0,0.17647019267676836,90.747606880294,118.28254155702018,0.15384615384615385,0.23076923076923078
S1413,3.0,10.0,5.0,0.16403994439187053,86.53476381634599,114.2050806817051,0.38461538461538464,0.7692307692307693
S1423,3.0,4.0,3.0,0.0724139445534293,78.38584257948297,55.77011098372024,0.25,0.3333333333333333
S1503,3.0,8.0,7.0,0.16961846757351662,86.72914602068958,118.2470206890577,0.5833333333333334,0.6666666666666666
S1513,3.0,11.0,8.0,0.30026970858007457,91.40631417760605,208.22949793322707,0.6153846153846154,0.8461538461538461
S1523,3.0,8.0,4.0,0.26177061190278855,83.6163589703252,196.85038963163836,0.3333333333333333,0.6666666666666666
S1603,3.0,9.0,6.0,0.13127323261138718,95.04479124444342,81.27397048247202,0.42857142857142855,0.6428571428571429
S1613,3.0,8.0,7.0,0.13881883920117588,81.69232537269467,100.36717882484766,0.5833333333333334,0.6666666666666666
S1623,3.0,9.0,6.0,0.1815736510130913,90.26380790293334,124.61158474296917,0.46153846153846156,0.6923076923076923
S1703,3.0,6.0,1.0,0.04338961374767099,77.61219314886934,33.14439651597499,0.09090909090909091,0.5454545454545454
S1713,3.0,8.0,4.0,0.10109389766559244,92.3212244548723,65.72586174639717,0.2857142857142857,0.5714285714285714
S1723,3.0,9.0,6.0,0.09019183305599125,77.34225571829342,70.7664709116964,0.5,0.75
S204,4.0,6.0,4.0,0.19188896536388608,83.05694515136832,142.61904597653577,0.3333333333333333,0.5
S214,4.0,8.0,8.0,0.200888295279283,65.76541016503899,182.3182922462215,0.8,0.8
S224,4.0,7.0,5.0,0.12361751318141655,68.25339609557157,109.43267429831744,0.5,0.7
S304,4.0,4.0,2.0,0.23296897730003588,50.91428612957116,271.76754105647365,0.2857142857142857,0.5714285714285714
S314,4.0,8.0,6.0,0.40092241049368815,72.42300360625158,393.98264102441294,0.6666666666666666,0.8888888888888888
S324,4.0,7.0,6.0,0.2432811067550108,56.947667626705226,264.3513432026802,0.75,0.875
S404,4.0,6.0,3.0,0.33591888561066013,71.71249368964531,320.289848004419,0.3333333333333333,0.6666666666666666
S414,4.0,5.0,5.0,0.11733239718028154,55.521217626572614,121.8478441590066,0.625,0.625
S424,4.0,8.0,7.0,0.28363442192826155,69.80306165542713,266.4806895596063,0.7777777777777778,0.8888888888888888
S504,4.0,8.0,6.0,0.2126459076784822,66.92060449392936,195.58737630201855,0.6,0.8
S514,4.0,6.0,1.0,0.03537942334554776,63.61326639494283,30.453860867275328,0.1,0.6
S524,4.0,6.0,1.0,0.04718837294091267,64.41221201513397,43.788814981228924,0.1,0.6
S604,4.0,4.0,2.0,0.06082062991463268,66.20579979725048,50.03903741889949,0.2,0.4
S614,4.0,6.0,2.0,0.06889298683145988,67.65192972419987,58.85829008659137,0.2,0.6
S624,4.0,7.0,3.0,0.15638400689466647,78.67278048458142,121.01122808086603,0.25,0.5833333333333334
S704,4.0,7.0,6.0,0.3372334695109587,72.16489368798051,313.42368590735936,0.6666666666666666,0.7777777777777778
S714,4.0,7.0,4.0,0.11507295172479745,59.65618659900328,115.9147293910308,0.4444444444444444,0.7777777777777778
S724,4.0,5.0,4.0,0.07990039433761567,58.918305136464774,81.80848410548155,0.5,0.625
S804,4.0,7.0,5.0,0.14644271604943507,72.04342411961301,117.6799747944572,0.5,0.7
S814,4.0,8.0,4.0,0.09577933523723314,75.06296773447275,76.8859478682016,0.36363636363636365,0.7272727272727273
S824,4.0,7.0,5.0,0.07994416125753996,66.35695676598893,70.86123900090782,0.5,0.7
S904,4.0,8.0,5.0,0.08950225393761367,74.68312267848331,70.98145776848199,0.45454545454545453,0.7272727272727273
S914,4.0,10.0,6.0,0.18224251400433403,77.2648264999682,142.2673776608689,0.5,0.8333333333333334
S924,4.0,4.0,2.0,0.04857474786891307,67.10766141886945,35.62846832382822,0.2,0.4
S1004,4.0,9.0,6.0,0.07754592725033688,79.97044911969205,57.6158113453613,0.5,0.75
S1014,4.0,8.0,3.0,0.2286579611603717,86.39151956216203,163.1929676141039,0.25,0.6666666666666666
S1024,4.0,10.0,7.0,0.0861685892060918,82.84429941043037,62.30638946208061,0.5384615384615384,0.7692307692307693
S1104,4.0,7.0,3.0,0.06553279720536113,91.09285495163104,42.28727921985946,0.21428571428571427,0.5
S1114,4.0,9.0,7.0,0.0882959525373529,83.64914844388733,63.80285667707357,0.5833333333333334,0.75
S1124,4.0,6.0,4.0,0.06549746365291945,78.38896537738823,50.19241102470548,0.3333333333333333,0.5
S1304,4.0,9.0,5.0,0.08764541581289947,70.36461598675311,75.4876662449046,0.45454545454545453,0.8181818181818182
S1314,4.0,5.0,5.0,0.1525022829686931,79.42120291199991,115.32748402453176,0.45454545454545453,0.45454545454545453
S1324,4.0,4.0,3.0,0.12521230809592723,66.66643385444281,113.62862247161661,0.3,0.4
S1404,4.0,11.0,6.0,0.19136431930039038,88.27151200039602,132.26292271692628,0.46153846153846156,0.8461538461538461
S1414,4.0,9.0,7.0,0.23339407114794708,80.53443066218247,180.4349049751138,0.5833333333333334,0.75
S1424,4.0,10.0,6.0,0.16933582145953965,87.78619224427163,114.19341510972409,0.46153846153846156,0.7692307692307693
S1504,4.0,6.0,6.0,0.07549077386825938,73.81226053897488,60.28588354749445,0.5454545454545454,0.5454545454545454
S1514,4.0,5.0,4.0,0.0692971980425554,65.77525672153475,62.8683651998968,0.4,0.5
S1524,4.0,9.0,5.0,0.19408743766080555,73.70519085610066,156.4634664275676,0.45454545454545453,0.8181818181818182
S1604,4.0,7.0,3.0,0.13449350665302037,86.53642778176958,91.77359255390095,0.23076923076923078,0.5384615384615384
S1614,4.0,7.0,5.0,0.2573081996178461,81.80056341990945,194.81099558462972,0.4166666666666667,0.5833333333333334
S1624,4.0,10.0,7.0,0.2396357741467748,93.59499567950063,169.21823761434655,0.5833333333333334,0.8333333333333334
S1704,4.0,10.0,7.0,0.1916421474950506,93.56100425314948,126.3783085611353,0.5,0.7142857142857143
S1714,4.0,7.0,4.0,0.16424848589187416,63.634553945470756,159.19109537577398,0.4444444444444444,0.7777777777777778
S1724,4.0,6.0,6.0,0.27781255832386553,61.66615365970662,273.3890080908489,0.6666666666666666,0.6666666666666666
